100,1,,29/06/2022,17/09/2022,69,0,-11,7,76,fghj,invoice,open,62,1,"Allan Deer",allande@mail.com,"1702 Modoc Alley",cbnm,"White Bird",US,55550,8520001450,"Allan Deer","1702 Modoc Alley",cbnm,"White Bird",US,55550
100,1,,29/06/2022,17/09/2022,69,0,-11,7,76,fghj,invoice,open,63,1,"Allan Deer",allande@mail.com,"1702 Modoc Alley",cbnm,"White Bird",US,55550,8520001450,"Allan Deer","1702 Modoc Alley",cbnm,"White Bird",US,55550
102,10,,11/09/2022,12/09/2022,0,0,0,0,0,"<br />
<b>Notice</b>:  Undefined variable: invoice_notes in <b>C:xampphtdocsdownloadedInvoiceMg-PHPinvoice-edit.php</b> on line <b>300</b><br />
",invoice,open,50,10,"Rose Thompson",thompsonr@mail.com,"2374 Berkley Street","2374 Berkley Street",Northampton,US,01010,7410000020,"Rose Thompson","2374 Berkley Street","2374 Berkley Street",Northampton,US,01010
102,10,,11/09/2022,12/09/2022,0,0,0,0,0,"<br />
<b>Notice</b>:  Undefined variable: invoice_notes in <b>C:xampphtdocsdownloadedInvoiceMg-PHPinvoice-edit.php</b> on line <b>300</b><br />
",invoice,open,51,10,"Anne B Ruch",anner@mail.com,"4039 Overlook Drive",,Indianapolis,US,46225,1478500000,"Anne B Ruch","4039 Overlook Drive","6939 Dt Drive",Indianapolis,US,46225
102,10,,11/09/2022,12/09/2022,0,0,0,0,0,"<br />
<b>Notice</b>:  Undefined variable: invoice_notes in <b>C:xampphtdocsdownloadedInvoiceMg-PHPinvoice-edit.php</b> on line <b>300</b><br />
",invoice,open,52,10,"Anne B Ruch",anner@mail.com,"4039 Overlook Drive",,Indianapolis,US,46225,1478500000,"Anne B Ruch","4039 Overlook Drive","6939 Dt Drive",Indianapolis,US,46225
102,10,,11/09/2022,12/09/2022,0,0,0,0,0,"<br />
<b>Notice</b>:  Undefined variable: invoice_notes in <b>C:xampphtdocsdownloadedInvoiceMg-PHPinvoice-edit.php</b> on line <b>300</b><br />
",invoice,open,53,10,"Anne B Ruch",anner@mail.com,"4039 Overlook Drive",,Indianapolis,US,46225,1478500000,"Anne B Ruch","4039 Overlook Drive","6939 Dt Drive",Indianapolis,US,46225
102,10,,11/09/2022,12/09/2022,0,0,0,0,0,"<br />
<b>Notice</b>:  Undefined variable: invoice_notes in <b>C:xampphtdocsdownloadedInvoiceMg-PHPinvoice-edit.php</b> on line <b>300</b><br />
",invoice,open,54,10,"Anne B Ruch",anner@mail.com,"4039 Overlook Drive",,Indianapolis,US,46225,1478500000,"Anne B Ruch","4039 Overlook Drive","6939 Dt Drive",Indianapolis,US,46225
102,10,,11/09/2022,12/09/2022,0,0,0,0,0,"<br />
<b>Notice</b>:  Undefined variable: invoice_notes in <b>C:xampphtdocsdownloadedInvoiceMg-PHPinvoice-edit.php</b> on line <b>300</b><br />
",invoice,open,55,10,"Anne B Ruch",anner@mail.com,"4039 Overlook Drive",,Indianapolis,US,46225,1478500000,"Anne B Ruch","4039 Overlook Drive","6939 Dt Drive",Indianapolis,US,46225
102,10,,11/09/2022,12/09/2022,0,0,0,0,0,"<br />
<b>Notice</b>:  Undefined variable: invoice_notes in <b>C:xampphtdocsdownloadedInvoiceMg-PHPinvoice-edit.php</b> on line <b>300</b><br />
",invoice,open,56,10,"Anne B Ruch",anner@mail.com,"4039 Overlook Drive",,Indianapolis,US,46225,1478500000,"Anne B Ruch","4039 Overlook Drive","6939 Dt Drive",Indianapolis,US,46225
102,10,,11/09/2022,12/09/2022,0,0,0,0,0,"<br />
<b>Notice</b>:  Undefined variable: invoice_notes in <b>C:xampphtdocsdownloadedInvoiceMg-PHPinvoice-edit.php</b> on line <b>300</b><br />
",invoice,open,60,10,"Allan Deer",allande@mail.com,"1702 Modoc Alley",cbnm,"White Bird",US,55550,8520001450,"Allan Deer","1702 Modoc Alley",cbnm,"White Bird",US,55550
